id,observed_on,time_observed_at,quality_grade,url,image_url,latitude,longitude,species_guess,scientific_name,common_name,taxon_family_name,taxon_genus_name
1,25-09-2021,2021-09-25 11:49:03 UTC,needs_id,https://www.inaturalist.org/observations/96069617,https://inaturalist-open-data.s3.amazonaws.com/photos/159560074/medium.jpeg,13.05336008,80.20246522,green callaloo amaranth,Amaranthus viridis,green callaloo amaranth,Amaranthaceae,Amaranthus
2,25-09-2021,2021-09-25 11:52:23 UTC,needs_id,https://www.inaturalist.org/observations/96069735,https://inaturalist-open-data.s3.amazonaws.com/photos/159560280/medium.jpeg,13.05342101,80.20236764,licorice weed,Scoparia dulcis,licorice weed,Plantaginaceae,Scoparia
3,25-09-2021,2021-09-25 11:53:27 UTC,research,https://www.inaturalist.org/observations/96069850,https://inaturalist-open-data.s3.amazonaws.com/photos/159560505/medium.jpeg,13.05345713,80.20266325,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
4,25-09-2021,2021-09-25 11:55:30 UTC,needs_id,https://www.inaturalist.org/observations/96070013,https://inaturalist-open-data.s3.amazonaws.com/photos/159560816/medium.jpeg,13.05339465,80.20242133,Tridax daisy,Tridax procumbens,Tridax daisy,Asteraceae,Tridax
5,25-09-2021,2021-09-25 11:58:12 UTC,research,https://www.inaturalist.org/observations/96070105,https://inaturalist-open-data.s3.amazonaws.com/photos/159561030/medium.jpeg,13.0534017,80.2023797,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
6,25-09-2021,2021-09-25 11:59:38 UTC,needs_id,https://www.inaturalist.org/observations/96070256,https://inaturalist-open-data.s3.amazonaws.com/photos/159561283/medium.jpeg,13.0533762,80.2023767,mesquite,Prosopis juliflora,mesquite,Fabaceae,Prosopis
7,25-09-2021,2021-09-25 12:00:21 UTC,needs_id,https://www.inaturalist.org/observations/96070333,https://inaturalist-open-data.s3.amazonaws.com/photos/159561412/medium.jpeg,13.05345461,80.20248479,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
8,25-09-2021,2021-09-25 12:01:52 UTC,research,https://www.inaturalist.org/observations/96070582,https://inaturalist-open-data.s3.amazonaws.com/photos/159561822/medium.jpeg,13.05340465,80.20240585,Papaya,Carica papaya,Papaya,Caricaceae,Carica
9,25-09-2021,2021-09-25 12:07:41 UTC,needs_id,https://www.inaturalist.org/observations/96071256,https://inaturalist-open-data.s3.amazonaws.com/photos/159562942/medium.jpeg,13.05341711,80.20165617,Neem,Azadirachta indica,Neem,Meliaceae,Azadirachta
10,25-09-2021,2021-09-25 12:08:08 UTC,research,https://www.inaturalist.org/observations/96071302,https://inaturalist-open-data.s3.amazonaws.com/photos/159562988/medium.jpeg,13.05341142,80.20157673,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
11,25-09-2021,2021-09-25 12:09:05 UTC,needs_id,https://www.inaturalist.org/observations/96071331,https://inaturalist-open-data.s3.amazonaws.com/photos/159563035/medium.jpeg,13.05345771,80.20135413,Kassod Tree,Senna siamea,Kassod Tree,Fabaceae,Senna
12,25-09-2021,2021-09-25 12:09:56 UTC,needs_id,https://www.inaturalist.org/observations/96071375,https://inaturalist-open-data.s3.amazonaws.com/photos/159563065/medium.jpeg,13.05343615,80.20128251,Figs,Ficus,Figs,Moraceae,Ficus
13,25-09-2021,2021-09-25 12:11:24 UTC,research,https://www.inaturalist.org/observations/96071396,https://inaturalist-open-data.s3.amazonaws.com/photos/159563104/medium.jpeg,13.05365183,80.20111481,Indian beech tree,Millettia pinnata,Indian beech tree,Fabaceae,Millettia
14,25-09-2021,2021-09-25 12:13:03 UTC,research,https://www.inaturalist.org/observations/96071459,https://inaturalist-open-data.s3.amazonaws.com/photos/159563250/medium.jpeg,13.05368573,80.20075039,areca palm,Dypsis lutescens,areca palm,Arecaceae,Dypsis
15,25-09-2021,2021-09-25 12:18:59 UTC,needs_id,https://www.inaturalist.org/observations/96071807,https://inaturalist-open-data.s3.amazonaws.com/photos/159564038/medium.jpeg,13.05380199,80.20082687,Be-still tree,Cascabela thevetia,Be-still tree,Apocynaceae,Cascabela
16,25-09-2021,2021-09-25 12:19:39 UTC,needs_id,https://www.inaturalist.org/observations/96071878,https://inaturalist-open-data.s3.amazonaws.com/photos/159564138/medium.jpeg,13.0537478,80.2008697,Jungli Badam,Terminalia catappa,Jungli Badam,Combretaceae,Terminalia
17,25-09-2021,2021-09-25 12:24:44 UTC,needs_id,https://www.inaturalist.org/observations/96072294,https://inaturalist-open-data.s3.amazonaws.com/photos/159564945/medium.jpeg,13.05363963,80.20100341,Pygmy Date Palm,Phoenix roebelenii,Pygmy Date Palm,Arecaceae,Phoenix
18,25-09-2021,2021-09-25 12:27:34 UTC,needs_id,https://www.inaturalist.org/observations/96072498,https://inaturalist-open-data.s3.amazonaws.com/photos/159565283/medium.jpeg,13.05360007,80.20092014,false ashoka,Polyalthia longifolia,false ashoka,Annonaceae,Polyalthia
19,25-09-2021,2021-09-25 12:29:12 UTC,research,https://www.inaturalist.org/observations/96072600,https://inaturalist-open-data.s3.amazonaws.com/photos/159565577/medium.jpeg,13.05385527,80.20109795,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
20,25-09-2021,2021-09-25 12:30:19 UTC,needs_id,https://www.inaturalist.org/observations/96072658,https://inaturalist-open-data.s3.amazonaws.com/photos/159565693/medium.jpeg,13.05386922,80.20112235,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
